question,correct_answer,support
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,
"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",
How many living species of African Elephants are there?,"The African Elephant genus contains two (or, arguably, three) living species.",
How long may elephants live?,70 years,
Why does the phrase 'elephants never forget' have no metaphorical meaning?,Because it refers literally to elephants supposedly having an excellent memory.,
How many living species of Asian Elephants are there?,1,
How much do elephants weight at birth?,At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).,
What did Aristotle say about elephants?,the beast which passeth all others in wit and mind,
Is the Asian elephant larger than the African?,Sometimes,
How do elephants communicate over long distances?,By producing and receiving low-frequency sound (infrasound),
When do African elephants lie down?,when they are sick or wounded,
How long is the elephant's gestation period?,22 months,
How many species of African elephants have been proposed?,three,
What are the elephant's ears important for?,temperature regulation,
What land animal has the largest brain?,The elephant,
What is the world population of Asian elephants?,60000,
What part of an elephant is very important for temperature regulation?,The large flapping ears of an elephant are also very important for temperature regulation.,
Where was the largest elephant ever recorded shot?,The largest elephant ever recorded was shot in Angola in 1956.,
What land animal is larger than an elephant?,"None, the elephant is the largest land animal.",
Has tusklessness become a rare abnormality?,"No, tusklessness has become a widespread hereditary trait.",
Do wolf pups tend to have darker fur than adults?,"Yes, They do tend to have darker furs",
Do wolves leave their pack?,They leave their birth pack when they reach sexual maturity,
What kinds of coats do wolves have?,"Tough guard hairs that repel water and dirt, and a dense, water-resistant layer",
Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,
Where do wolves have scent glands?,between a wolf's toes,
How much do wolves weigh?,between 32 and 68 kilograms,
Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own.",
What is surplus killing?,the killing of several prey animals too numerous to eat at one sitting,
Are Gray Wolves native to North America?,No. Current theory suggests that it's from Eurasia,
Where is the largest gray wolf population thought to be found?,Kazakhstan,
To what genus does the gray wolf belong?,Canis,
When do wolves molt?,Late Spring or Early Summer,
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,The pack tension rises as each mature wolf feels urged to mate,
What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.,
"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance,
He became chief engineer in the Department of Bridges and Highways in what year?,in 1894,
What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed,
When did he marry louise dÃ©sirÃ©e lorieux?,1890,
Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel,
Did he not die at the age of 55 in Le Croisic ?,Yes he died at the age of 55,
What happened in 1896?,Becquerel accidentally discovered radioactivity.,
What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day,
Who died in childbirth in 1772?,Margaret Miller,
Who died in 1832?,Margaret Miller.,
"Four years after opening his shop , Watt began what?","Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it.",
What is a collective noun for kangaroos?,"Mob, troop, or court",
Where do joeys complete postnatal development?,marsupium,
Where do joeys complete postnatal development?,A pouch called a marsupium,
"What do kangaroos use for ""crawl-walking?""",Their hind feet and their tails,
Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.,
Why do kangaroos have a wide bite?,Because of grazing,
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,The digestive system of a kangaroo,
What is the average life expectancy of a kangaroo?,4.6 years,
When did the first official report of kangaroo blindness take place?,1994,
What are vehicles that frequent isolated roads often fitted with?,roo bars,
What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi",
What method of locomotion do Kangaroos Use?,hopping,
What is the average life expectancy of a kangaroo?,4 to 6 years,
What is a collective noun for a kangaroo?,"a mob, troop, or court",
What is a roo?,a kangaroo,
What is used to protect a vehicale from a Kangaroo?,roo bars,
What method is used by Kangaroos to travel?,hopping,
Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks,
What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo",
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians,
Different species of kangaroos eat what?,different diets,
What kinds of changes have larger kangaroos adapted much better to?,Changes wrought to the Australian landscape by humans.,
What may a leopard be mistaken for?,A cheetah or a jaguar,
What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard,
Where do leopards often hide their kills?,in dense vegetation or in trees,
How did early naturalists distinguish between leopards and panthers?,"By the length of the tail, panthers having longer tails than leopards",
What are dark leopards known as colloquially?,Black Panthers,
What shape are a leopard's black rosettes in East Africa?,circular,
Is the leopard an Old World mammal?,.,
Where is the leopard distributed?,"southern Eurasia and Africa, from Korea to South Africa and Spain",
How long is a leopard's tail?,60 to 110cm,
How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,
What is the difference between leopards and cheetahs?,"The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar.",
How does the distribution size of the leopard compare to the distribution of other wild cats?,the leopard had the largest distribution of any wild cat.,
What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role,
"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,
What sort of cats are solitary?,Leopards,
What centred in Sierra?,The leopard men,
Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae",
"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near GospiÄ‡ , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?",Nikola Tesla,
Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?,yes.,
How many species of otter are there?,13,
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds",
How much do sea otters weigh?,30 kg (about 65 pounds),
How do sea otters insulate themselves?,"As with other species of otter, they rely on a layer of air trapped in their fur, which they keep topped up by blowing into the fur from their mouths.",
Why are sea otters nearly extinct?,"Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them",
What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,Roadkill deaths have become one of the significant threats to the success of their re-establishment.,
How many species and genera does otter have?,13 species in 7 genera.,
What do river otters eat?,"River otters eat a variety of fish and shellfish, as well as small land mammals and birds.",
Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America.,
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. This and cognate words in other Indo-European languages ultimately stem from a root which also gave rise to the English words ""water"", ""wet"" and ""winter"".",
Does otter give birth or lay egg?,give birth,
What drives sea otter almost to extinction?,"Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction.",
Why otters are considered as totem animals?,"The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19.",
What is the primary item in an otter's diet?,Fish.,
What is an otter's den called?,Holt,
Why is the giant otter becoming increasingly rare?,"Poaching, habitat loss, and toxins in gold mining.",
How do otters keep themselves warm without blubber?,a layer of air trapped in their fur,
How are otters playful animals?,"The slide down snowy slopes, apparently for sheer enjoyment.",
What animals are related to otters?,"weasels, polecats, and badgers",
"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair,
The collective noun romp is sometimes used for a group of what?,Otters,
An otter 's den is what?,A holt,
Sea otters eat what?,Shellfish and other invertebrates,
What is the largest living species of penguin?,the Emperor Penguin (Aptenodytes forsteri),
"What is ""tobogganing""?",Tobogganing is when penguins slide on their bellies across the snow.,
Why are penguins countershaded?,for camouflage,
How much time to penguins spend on land?,They spend half of their life on land.,
How many species of penguins are there?,between 17 and 20 living species,
How are Isabelline penguins different from most penguins?,Because they are born with brown rather than black plumage.,
What order do penguins belong to?,Sphenisciformes,
What is the largest living species of penguin?,Emperor,
How tall were the tallest prehistoric penguins?,1.80 meters,
What makes penguins so agile in the water?,"Smooth plumage preserves a layer of air, ensuring buoyancy, wings are flippers",
"Why do penguins ""tobaggan""?",It conserves energy while moving quickly,
Who spend half of their life on land and half in the oceans?,Penguins,
What is also the distance that Antarctic tourists are told to keep from penguins?,3 meters,
"What have become flippers, useless for flight in the air?",Penguins' wings,
What happens when mothers lose a chick?,"They sometimes attempt to ""steal"" another chick.",
Are penguins astonishingly agile?,In the water they are.,
"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.,
What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.,
What is the last word on the page?,Connecticut,
What is largest polar bear on record?,"A huge male, allegedly weighing 1002 kg (2200 lb) shot at Kotzebue Sound in northwestern Alaska in 1960.",
What is polar bear's skin color?,Black,
How long is polar bear's guard hair?,5-15 cm,
What is cause of polar bear's skin diseases?,Mites or other parasites,
Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced.",
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear roughly 200 thousand years ago.,
How heavy is a male polar bear?,Most adult males weigh 350-650 kg,
How heavy was the largest polar bear on record?,1002 kg (2200 lb),
What does a polar bear's fur provide?,A polar bear's fur provides camouflage and insulation,
How much weight do female polar bears gain during pregnancy?,They gain double their weight.,
Can polar bears be seen under infrared photography?,Only their breath and muzzles can be easily seen,
What is actually black in color?,A polar bear's skin.,
What insulate it against the cold?,Its think blubber and fur.,
What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.,
What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.,
Are studies insufficient evidence for global protection?,It is arguable.,
"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice.",
Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba.",
The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.,
What shape are the eggs of the larest species of turtle?,Spherical,
How often do turtles breed?,Every few years or more,
What do all turtles and tortoises breathe?,air,
How do turtles reproduce?,They lay eggs,
What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time,
What suborder of turtle draws its head into its shell?,Pleurodira,
Are turtles a part of the Flying Spaghetti Monster?,*shrug*,
How many suborders are turtles divided into?,Three.,
Name a turtle popularly kept as a pet.,Russian Tortoises,
Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal",
"If a turtle egg was kept warm, what would likely hatch?",A female turtle.,
What do turles use to breathe in the water?,Papillae,
Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.,
What suborder of turtles is extinct?,Paracryptodira,
What do turtle eggs preared to eat consist mainly of?,Yolk,
Where do sea turtles lay their eggs?,Holes Dug into the Mud or Sand,
What is the smallest suborder of turtles?,Pleurodira,
What are turtle eggs covered in when they incubate?,Mud or Sand,
What type of creatures breathe air and don't lay eggs underwater?,Amniotes,
What are deposited in holes dug into mud or sand?,eggs,
What sort of turtles are ectothermic?,all of them,
"These projections , called papillae , have what?",a rich blood supply,
The eggs of the largest species are what?,spherical,
